Adv. Campaign,Clicks,Time
Udemy WW,99168,F-Jun'23
Ancestry US CA UK AU DE,3767,F-Jun'23
Macy's Many GEOs,2967,F-Jun'23
Ajio,31679,F-Jun'23
Titan [CPS] IN,4345,F-Jun'23
Firstcry [CPS] IN,2640,F-Jun'23
Moglix [CPS] IN,1909,F-Jun'23
Alibaba WW,10921,F-Jun'23
Alamy WW,1733,F-Jun'23
Udemy WW,39249,G-Jul'23
Myntra,34227,G-Jul'23
Ancestry US CA UK AU DE,1956,G-Jul'23
Firstcry [CPS] IN,2002,G-Jul'23
Alibaba WW,3980,G-Jul'23
Titan [CPS] IN,2031,G-Jul'23
Udemy WW,19926,H-Aug'23
Ancestry US CA UK AU DE,1288,H-Aug'23
Alibaba WW,2720,H-Aug'23
Udemy WW,13659,I-Sept'23
Alibaba WW,3104,I-Sept'23
Ancestry US CA UK AU DE,2160,I-Sept'23
Udemy WW,10789,J-Oct'23
Alibaba WW,2590,J-Oct'23
Ancestry US CA UK AU DE,1790,J-Oct'23
Udemy WW,7172,K-Nov'23
Ancestry US CA UK AU DE,2865,K-Nov'23
Alibaba WW,2319,K-Nov'23
Udemy WW,8178,L-Dec'23
Alibaba WW,1872,L-Dec'23
Expedia [CPS] Many Geos,1335,L-Dec'23
Ancestry US CA UK AU DE,3657,L-Dec'23
H&M Many GEOs,5742,L-Dec'23
Alibaba WW,6275,M-Jan'24
Expedia [CPS] Many Geos,7254,M-Jan'24
Udemy WW,24273,M-Jan'24
Norton [CPS] WW,5243,M-Jan'24
Ancestry US CA UK AU DE,7773,M-Jan'24
Pdffiller Many Geos,1031,M-Jan'24
Nike [CPS] APAC,22559,M-Jan'24
GAP AE SA KW Offline codes & Links,1451,M-Jan'24
Titan [CPS] IN,1031,M-Jan'24
H&M Many GEOs,56813,M-Jan'24
Carter's CPS-WW,2012,A-Jan'23
Envato Placeit CPS-WW,5551,A-Jan'23
Redbubble CPS- WW,9564,A-Jan'23
Adobe,44549,A-Jan'23
Ajio,32961,A-Jan'23
Bershka-CPS-FR,1776,A-Jan'23
Grover-CPS-DE,2803,A-Jan'23
Hulu CPS-US,2445,A-Jan'23
Kiwi.com-CPS- WW (Direct),36598,A-Jan'23
Lufthansa CPS-FR,2709,A-Jan'23
Mango CPS- FR/DE,23425,A-Jan'23
Myntra,58934,A-Jan'23
"NA-KD CPS- DK, SE, NO, FI",8611,A-Jan'23
Omio.com-CPS- WW,9086,A-Jan'23
PDF Filler- CPS- WW,8149,A-Jan'23
Saks Fifth Avenue - CPS - US,2090,A-Jan'23
Sam's Club CPS-US,2191,A-Jan'23
Shoppers Stop-CPS-IN,2557,A-Jan'23
Tatacliq.com -CPS-India,2389,A-Jan'23
TutorialsPoint - CPS - WW,4050,A-Jan'23
WeVideo- CPS-WW,1196,A-Jan'23
Wolt CPS FI/DK/SE/DE/NO/PL,3185,A-Jan'23
Carter's CPS-WW,1794,B-Feb'23
Envato Placeit CPS-WW,3956,B-Feb'23
Redbubble CPS- WW,6405,B-Feb'23
Adobe,19787,B-Feb'23
Ajio,26731,B-Feb'23
Apollo247 Pharmacy Web-CPS-IN,1334,B-Feb'23
Croma - CPS - IN,5325,B-Feb'23
Hulu CPS-US,1954,B-Feb'23
Kiwi.com-CPS- WW (Direct),27663,B-Feb'23
Lufthansa CPS-FR,1701,B-Feb'23
Mango CPS- FR/DE,13729,B-Feb'23
Myntra,57244,B-Feb'23
"NA-KD CPS- DK, SE, NO, FI",6734,B-Feb'23
