,index,id_x,order_id,tariff_id_x,action_id,advcampaign_id,advcampaign_name,website_name,click_user_ip,click_user_referer,click_country_code,conversion_time,action,action_type,cart,status,processed,subid,subid1,subid2,subid3,subid4,payment_x,currency,keyword,comment,paid,promocode,click_date,action_date,closing_date,status_updated,id_y,tariff_id_y,datetime,amount,payment_y,rate,rate_id,percentage,product_url,product_id,product_image,product_name,product_category_id,product_category_name,id_y,tariff_id_y,datetime,amount,payment_y,rate,rate_id,percentage,product_url,product_id,product_image,product_name,product_category_id,product_category_name,id_y,tariff_id_y,datetime,amount,payment_y,rate,rate_id,percentage,product_url,product_id,product_image,product_name,product_category_id,product_category_name
170,170,1048609452,G10165404920,17749,1048609452,23004,Nike [CPS] APAC,Real Pricetracker,,,SG,73,Sales,sale,88.13,pending,0,tabm,,,,,3.77,USD,,,0,,4/27/2024 21:17,4/27/2024 21:18,,4/27/2024 21:23,1245367828,23336,4/27/2024 21:18,88.13,3.77,4.28,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,171,1048595741,4405.5961.329294,16070,1048595741,22143,Norton [CPS] WW,xocoupon,,,FR,492,Sale,sale,37.44,approved,1,np,,,,,52.5,USD,,,0,,4/27/2024 18:17,4/27/2024 18:25,5/15/2024,5/14/2024 12:38,1245351451,25639,4/27/2024 18:25,37.44,52.5,52.5,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,172,1048582119,479893251,14275,1048582119,21029,Ancestry US CA UK AU DE,Real Pricetracker,,,US,-6,Conversion,sale,,pending,0,tabm,,,,,0,USD,,,0,,4/27/2024 16:43,4/27/2024 16:43,,4/27/2024 17:22,1245334634,18508,4/27/2024 16:43,0,0,0,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,173,1048533384,118794262,5273,1048533384,14627,Flipkart [CPS] IN,Real Pricetracker,,,IN,816,Existing Customer,sale,7999,pending,0,gmg,,,,,0,INR,,,0,,4/27/2024 11:13,4/27/2024 11:27,,4/27/2024 11:36,1245271124,5792,4/27/2024 11:27,7999,0,0,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,174,1049253247,gpt-1071431682|course|5220432,16622,1049253247,22448,Udemy WW,Real Pricetracker,,,MX,1811,Paid course,sale,7.68,pending,0,tabm,,,,,0.61,USD,,,0,,4/27/2024 2:01,4/27/2024 2:32,,4/30/2024 13:24,1246424830,21660,4/27/2024 2:32,7.68,0.61,7.95,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,175,1049253314,gpt-1071350532|course|1988542,16622,1049253314,22448,Udemy WW,Real Pricetracker,,,JP,662,Paid course,sale,9.64,pending,0,tabm,,,,,0.77,USD,,,0,,4/26/2024 20:36,4/26/2024 20:48,,4/30/2024 13:24,1246424897,21660,4/26/2024 20:48,9.64,0.77,7.99,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,176,1048359063,118651363,5200,1048359063,14627,Flipkart [CPS] IN,Real Pricetracker,,https://www.flipkart.com/,IN,29,New Customer,sale,349,pending,0,gmg,,,,,0,INR,,,0,,4/26/2024 18:03,4/26/2024 18:04,,4/26/2024 18:51,1244966033,5686,4/26/2024 18:04,349,0,0,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,177,1048359038,118651322,5200,1048359038,14627,Flipkart [CPS] IN,Real Pricetracker,,https://www.flipkart.com/,IN,29,New Customer,sale,17999,pending,0,gmg,,,,,0,INR,,,0,,4/26/2024 18:03,4/26/2024 18:04,,4/26/2024 18:51,1244966007,5686,4/26/2024 18:04,17999,0,0,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,178,1049253295,gpt-1071229904|course|2825077,16622,1049253295,22448,Udemy WW,Real Pricetracker,,,RO,-597,Paid course,sale,15.09,pending,0,tabm,,,,,1.2,USD,,,0,,4/26/2024 14:33,4/26/2024 14:24,,4/30/2024 13:24,1246424878,21660,4/26/2024 14:24,15.09,1.2,7.96,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,179,1049253285,gpt-1071229904|course|4745702,16622,1049253285,22448,Udemy WW,Real Pricetracker,,,RO,-597,Paid course,sale,10.78,pending,0,tabm,,,,,0.86,USD,,,0,,4/26/2024 14:33,4/26/2024 14:24,,4/30/2024 13:24,1246424870,21660,4/26/2024 14:24,10.78,0.86,7.98,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,180,1048289273,15962.5960.9120,28955,1048289273,30956,Pdffiller Many Geos,Real Pricetracker,,,AT,646,Sale,sale,,pending,0,tabm,,,,,0,USD,,,0,,4/26/2024 11:16,4/26/2024 11:27,,4/26/2024 11:31,1244870135,63584,4/26/2024 11:27,0,0,0,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,181,1048279284,2.40424E+19,27801,1048279284,25369,Vevor Many GEOs,Real Pricetracker,,,FR,156446,Paid Order FR,sale,189.72,pending,0,tabm,,,,,9.5,USD,,,0,,4/24/2024 14:47,4/26/2024 10:15,,4/26/2024 10:15,1244856270,42010,4/26/2024 10:15,98.61,4.94,5,515122,TRUE,https://www.vevor.com/hydraulic-quick-coupler-c_10081/4-sets-1-2-npt-hydraulic-couplers-flat-face-quick-connect-skid-steer-bobcat-p_010942285467,YYJT1/2YYKSJT04D1V0,,,,,1244856271,42010,4/26/2024 10:15,91.11,4.56,5,515122,TRUE,https://uk.vevor.com/garden-push-seeder-c_10213/vevor-garden-seeder-row-seed-planter-w-6-seed-plates-precision-lawn-spreader-p_010969393227,DLBZJHSCW6VPGDA4RV0,,,,,,,,,,,,,,,,,,
182,182,1048279911,479715829,14275,1048279911,21029,Ancestry US CA UK AU DE,Real Pricetracker,,,US,5,Conversion,sale,,pending,0,tabm,,,,,0,USD,,,0,,4/26/2024 10:08,4/26/2024 10:09,,4/26/2024 10:24,1244857207,18508,4/26/2024 10:09,0,0,0,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,183,1048986919,gpt-1071058380|course|950390,16622,1048986919,22448,Udemy WW,Real Pricetracker,,,AR,-1240,Paid course,sale,12.99,pending,0,tabm,,,,,1.04,USD,,,0,,4/26/2024 0:52,4/26/2024 0:32,,4/29/2024 13:24,1245996065,21660,4/26/2024 0:32,12.99,1.04,8.01,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
