,Campaign_Name,Status,Payout,Currency,Date,Customer_city,Customer_Region,Customer_Country,Sub_Id
153,Walmart Affiliate Program,REVERSED,0.00,USD,2024-01-05,Queens,New York,US,gmg
154,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-05,Salt Lake City,Utah,US,gmg
155,Walmart Affiliate Program,APPROVED,0.70,USD,2024-01-06,St Louis,Missouri,US,gmg
156,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-05,Ottawa,Illinois,US,gmg
157,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-05,Warner Robins,Georgia,US,gmg
158,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-05,Dallas,Texas,US,gmg
159,Walmart Affiliate Program,APPROVED,2.67,USD,2024-01-05,Winter Haven,Florida,US,gmg
160,DigitalOcean,APPROVED,0.00,USD,2024-01-06,Ashburn,Virginia,US,
161,Walmart Affiliate Program,APPROVED,0.30,USD,2024-01-05,San Antonio,Texas,US,gmg
162,Walmart Affiliate Program,APPROVED,3.78,USD,2024-01-05,Montebello,California,US,gmg
163,Walmart Affiliate Program,REVERSED,0.00,USD,2024-01-06,Montebello,California,US,gmg
164,Walmart Affiliate Program,APPROVED,0.10,USD,2024-01-06,Jeannette,Pennsylvania,US,gmg
165,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-06,Kalamazoo,Michigan,US,gmg
166,Walmart Affiliate Program,REVERSED,0.00,USD,2024-01-06,Hanover Park,Illinois,US,gmg
167,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-05,Beaumont,California,US,gmg
168,Walmart Affiliate Program,APPROVED,0.03,USD,2024-01-05,Seattle,Washington,US,gmg
169,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-06,Snellville,Georgia,US,gmg
170,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-05,Fort Lauderdale,Florida,US,gmg
171,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-05,Syracuse,New York,US,gmg
172,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-06,Sacramento,California,US,gmg
173,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-05,Orlando,Florida,US,gmg
174,Walmart Affiliate Program,APPROVED,0.47,USD,2024-01-06,Jersey City,New Jersey,US,gmg
175,Walmart Affiliate Program,APPROVED,0.31,USD,2024-01-05,Daytona Beach,Florida,US,gmg
176,Walmart Affiliate Program,APPROVED,0.59,USD,2024-01-05,Birmingham,Alabama,US,gmg
177,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-06,Anchorage,Alaska,US,gmg
178,Name.com,APPROVED,2.40,USD,2024-01-05,Phnom Penh,Phnom Penh,KH,fs
179,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-05,Fort Wayne,Indiana,US,gmg
180,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-06,Peoria,Arizona,US,gmg
181,DHgate,APPROVED,0.74,USD,2024-01-06,San Antonio,Texas,US,gmg
182,DigitalOcean,APPROVED,0.00,USD,2024-01-07,Ashburn,Virginia,US,
183,Walmart Affiliate Program,APPROVED,0.99,USD,2024-01-06,Nampa,Idaho,US,gmg
184,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-06,San Jose,California,US,gmg
185,NordVPN,APPROVED,32.29,USD,2024-01-05,Springfield,Virginia,US,gmg
186,Walmart Affiliate Program,APPROVED,2.11,USD,2024-01-06,Newburgh,New York,US,gmg
187,DHgate,APPROVED,1.20,USD,2024-01-07,Sydney,New South Wales,AU,gmg
188,Walmart Affiliate Program,APPROVED,0.15,USD,2024-01-07,Warren,Michigan,US,gmg
189,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-07,Edmond,Oklahoma,US,gmg
190,Walmart Affiliate Program,APPROVED,0.24,USD,2024-01-07,Seattle,Washington,US,gmg
191,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-07,Columbus,Georgia,US,gmg
192,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-07,Douglasville,Georgia,US,gmg
193,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-06,Dallas,Texas,US,gmg
194,Walmart Affiliate Program,APPROVED,7.80,USD,2024-01-07,Reno,Nevada,US,gmg
195,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-07,Grand Prairie,Texas,US,gmg
196,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-07,Romeoville,Illinois,US,gmg
197,Walmart Affiliate Program,APPROVED,4.32,USD,2024-01-06,Phoenix,Arizona,US,gmg
198,Walmart Affiliate Program,APPROVED,0.09,USD,2024-01-07,Hammond,Louisiana,US,gmg
199,Walmart Affiliate Program,APPROVED,0.69,USD,2024-01-07,Cibolo,Texas,US,gmg
200,Envato Placeit,APPROVED,0.00,USD,2024-01-05,Saint Clair Shores,Michigan,US,gmg
201,Walmart Affiliate Program,APPROVED,2.64,USD,2024-01-07,Cheyenne,Wyoming,US,gmg
202,Walmart Affiliate Program,APPROVED,0.40,USD,2024-01-07,Summerville,South Carolina,US,gmg
203,DigitalOcean,APPROVED,0.00,USD,2024-01-08,Ashburn,Virginia,US,
204,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-07,Pensacola,Florida,US,gmg
205,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-07,Greenville,South Carolina,US,gmg
206,Walmart Affiliate Program,APPROVED,0.12,USD,2024-01-06,Goodyear,Arizona,US,gmg
207,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-06,Columbus,Georgia,US,gmg
208,DHgate,APPROVED,1.97,USD,2024-01-07,Liverpool,England,GB,gmg
209,Walmart Affiliate Program,APPROVED,1.67,USD,2024-01-07,St. George,Utah,US,gmg
210,Walmart Affiliate Program,REVERSED,0.00,USD,2024-01-07,Weymouth,Massachusetts,US,gmg
211,Walmart Affiliate Program,APPROVED,3.10,USD,2024-01-07,Weymouth,Massachusetts,US,gmg
212,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-07,Winter Haven,Florida,US,gmg
213,Walmart Affiliate Program,APPROVED,1.54,USD,2024-01-07,Tucson,Arizona,US,gmg
214,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-07,Portland,Oregon,US,gmg
215,Walmart Affiliate Program,APPROVED,0.20,USD,2024-01-07,Seattle,Washington,US,gmg
