,Id,CampaignId,CampaignName,ActionTrackerName,ActionTrackerId,EventCode,State,AdId,Payout,DeltaPayout,IntendedPayout,Amount,DeltaAmount,IntendedAmount,Currency,ReferringDate,EventDate,CreationDate,LockingDate,ClearedDate,ReferringType,ReferringDomain,PromoCode,Oid,CustomerArea,CustomerCity,CustomerRegion,CustomerCountry,SubId1,SubId2,SubId3,SharedId,Uri
23,15586.5887.605527,15586,Wondershare Software,Online Sale,29280,,APPROVED,1266848,0.00,0.00,0.00,0.00,0.00,0.00,USD,2024-02-14T01:13:19+05:30,2024-02-14T01:14:25+05:30,2024-02-14T01:24:12+05:30,2024-03-28T09:30:00+05:30,2024-05-07T18:20:54+05:30,CLICK_COOKIE,,,,N/A,Odivelas,Lisbon,PT,gmg,,,,/Mediapartners/IRXXsjceaKKb3321333MEX88pArHEUWfn1/Actions/15586.5887.605527
24,15586.5889.923579,15586,Wondershare Software,Online Sale,29280,,APPROVED,1266848,9.00,9.00,9.00,29.99,29.99,29.99,USD,2024-02-16T05:44:08+05:30,2024-02-16T05:44:44+05:30,2024-02-16T05:53:20+05:30,2024-03-28T09:30:00+05:30,2024-05-07T18:20:54+05:30,CLICK_COOKIE,,,,N/A,Afton,Virginia,US,gmg,,,,/Mediapartners/IRXXsjceaKKb3321333MEX88pArHEUWfn1/Actions/15586.5889.923579
25,18571.5889.1284183,18571,Spocket,App Install,35618,,APPROVED,1599697,0.00,0.00,0.00,0.00,0.00,0.00,USD,2024-02-16T10:41:37+05:30,2024-02-16T10:42:16+05:30,2024-02-16T10:51:19+05:30,2024-03-14T12:30:00+05:30,,CLICK_COOKIE,,,,N/A,Jaipur,Rajasthan,IN,gmg,,,,/Mediapartners/IRXXsjceaKKb3321333MEX88pArHEUWfn1/Actions/18571.5889.1284183
26,18571.5889.1285550,18571,Spocket,App Install,35618,,APPROVED,1599697,0.00,0.00,0.00,0.00,0.00,0.00,USD,2024-02-16T10:41:37+05:30,2024-02-16T10:43:51+05:30,2024-02-16T10:53:13+05:30,2024-03-14T12:30:00+05:30,,CLICK_COOKIE,,,,N/A,Jaipur,Rajasthan,IN,gmg,,,,/Mediapartners/IRXXsjceaKKb3321333MEX88pArHEUWfn1/Actions/18571.5889.1285550
27,18571.5889.1284497,18571,Spocket,App Install,35618,,APPROVED,1599697,0.00,0.00,0.00,0.00,0.00,0.00,USD,2024-02-16T10:41:37+05:30,2024-02-16T10:44:05+05:30,2024-02-16T10:53:12+05:30,2024-03-14T12:30:00+05:30,,CLICK_COOKIE,,,,N/A,Jaipur,Rajasthan,IN,gmg,,,,/Mediapartners/IRXXsjceaKKb3321333MEX88pArHEUWfn1/Actions/18571.5889.1284497
28,18571.5890.116941,18571,Spocket,App Install,35618,,APPROVED,1599697,0.00,0.00,0.00,0.00,0.00,0.00,USD,2024-02-16T17:25:03+05:30,2024-02-16T17:26:26+05:30,2024-02-16T17:35:17+05:30,2024-03-15T12:30:00+05:30,,CLICK_COOKIE,,,,N/A,Jaipur,Rajasthan,IN,gmg,,,,/Mediapartners/IRXXsjceaKKb3321333MEX88pArHEUWfn1/Actions/18571.5890.116941
29,18571.5890.116969,18571,Spocket,App Install,35618,,APPROVED,1599697,0.00,0.00,0.00,0.00,0.00,0.00,USD,2024-02-16T17:25:03+05:30,2024-02-16T17:26:42+05:30,2024-02-16T17:35:17+05:30,2024-03-15T12:30:00+05:30,,CLICK_COOKIE,,,,N/A,Jaipur,Rajasthan,IN,gmg,,,,/Mediapartners/IRXXsjceaKKb3321333MEX88pArHEUWfn1/Actions/18571.5890.116969
30,15586.5894.611647,15586,Wondershare Software,Online Sale,29280,,APPROVED,1266848,16.49,16.49,16.49,54.94,54.94,54.94,USD,2024-02-21T01:50:57+05:30,2024-02-21T01:51:06+05:30,2024-02-21T01:59:26+05:30,2024-03-28T09:30:00+05:30,2024-05-07T18:20:54+05:30,CLICK_COOKIE,,,,N/A,Parkville,Maryland,US,gmg,,,,/Mediapartners/IRXXsjceaKKb3321333MEX88pArHEUWfn1/Actions/15586.5894.611647
31,15586.5896.143176,15586,Wondershare Software,Online Sale,29280,,APPROVED,1266848,10.63,10.63,10.63,35.43,35.43,35.43,USD,2024-02-22T18:37:24+05:30,2024-02-22T18:37:26+05:30,2024-02-22T18:45:16+05:30,2024-03-28T09:30:00+05:30,2024-05-07T18:20:54+05:30,CLICK_COOKIE,,,,N/A,Delhi,National Capital Territory of Delhi,IN,fs,,,,/Mediapartners/IRXXsjceaKKb3321333MEX88pArHEUWfn1/Actions/15586.5896.143176
32,19663.5898.598328,19663,ELEGOO,Online Sale EU,43251,,REVERSED,1692726,0.00,0.00,39.88,0.00,0.00,797.56,USD,2024-02-25T01:10:11+05:30,2024-02-25T01:10:14+05:30,2024-02-25T01:18:14+05:30,2024-03-20T21:30:00+05:30,2024-04-20T22:00:00+05:30,CLICK_COOKIE,,,,N/A,Murcia,Murcia,ES,gmg,,,,/Mediapartners/IRXXsjceaKKb3321333MEX88pArHEUWfn1/Actions/19663.5898.598328
33,15586.5900.466349,15586,Wondershare Software,Online Sale,29280,,APPROVED,1266848,21.00,21.00,21.00,69.99,69.99,69.99,USD,2024-02-26T23:16:16+05:30,2024-02-26T23:17:11+05:30,2024-02-26T23:26:32+05:30,2024-03-28T09:30:00+05:30,2024-05-07T18:20:54+05:30,CLICK_COOKIE,,,,N/A,Oklahoma City,Oklahoma,US,gmg,,,,/Mediapartners/IRXXsjceaKKb3321333MEX88pArHEUWfn1/Actions/15586.5900.466349
34,19663.5903.228902,19663,ELEGOO,Online Sale EU,43251,,REVERSED,1692726,0.00,0.00,2.76,0.00,0.00,55.24,USD,2024-02-29T20:02:23+05:30,2024-02-29T20:03:06+05:30,2024-02-29T20:12:14+05:30,2024-03-20T21:30:00+05:30,2024-04-20T22:00:00+05:30,CLICK_COOKIE,,,,N/A,Lünen,North Rhine-Westphalia,DE,gmg,,,,/Mediapartners/IRXXsjceaKKb3321333MEX88pArHEUWfn1/Actions/19663.5903.228902
35,12282.5904.1653528,12282,Hostinger,Online Sale,22574,,APPROVED,888231,56.11,56.11,56.11,140.29,140.29,140.29,USD,2024-03-02T10:17:05+05:30,2024-03-02T10:45:36+05:30,2024-03-02T22:44:47+05:30,2024-05-16T02:30:00+05:30,,CLICK_COOKIE,,CD,,N/A,Jaipur,Rajasthan,IN,dyeCTkQvA7q7cyzChIkp,203,hyyzo,,/Mediapartners/IRXXsjceaKKb3321333MEX88pArHEUWfn1/Actions/12282.5904.1653528
36,9043.5909.1072551,9043,Surfshark,Conversion,16153,,APPROVED,529009,21.25,21.25,21.25,53.13,53.13,53.13,USD,2024-03-07T04:47:27+05:30,2024-03-07T04:49:00+05:30,2024-03-07T06:04:12+05:30,2024-05-16T02:30:00+05:30,,CLICK_COOKIE,,,,N/A,Créteil,Île-de-France,FR,gmg,,,,/Mediapartners/IRXXsjceaKKb3321333MEX88pArHEUWfn1/Actions/9043.5909.1072551
37,19663.5941.412343,19663,ELEGOO,Online Sale EU,43251,,APPROVED,1692726,17.02,17.02,17.02,340.30,340.30,340.30,USD,2024-04-07T22:15:27+05:30,2024-04-07T22:15:30+05:30,2024-04-07T22:26:16+05:30,2024-05-20T21:30:00+05:30,,CLICK_COOKIE,,,,N/A,Lausanne,Vaud,CH,gmg,,,,/Mediapartners/IRXXsjceaKKb3321333MEX88pArHEUWfn1/Actions/19663.5941.412343
38,1733.5944.970057,1733,MacPaw,MacPaw Sale,4047,,APPROVED,66209,7.20,7.20,7.20,71.96,71.96,71.96,USD,2024-04-11T06:12:08+05:30,2024-04-11T06:15:28+05:30,2024-04-11T06:25:15+05:30,2024-05-16T12:30:00+05:30,2024-05-20T11:31:57+05:30,CLICK_COOKIE,,RMRKTNGS1D584EC6,,N/A,Buraidah,Al-Qassim Region,SA,fs,,,,/Mediapartners/IRXXsjceaKKb3321333MEX88pArHEUWfn1/Actions/1733.5944.970057
39,12282.5957.127760,12282,Hostinger,Online Sale,22574,,PENDING,888231,15.29,15.29,15.29,38.23,38.23,38.23,USD,2024-04-23T02:55:08+05:30,2024-04-23T17:44:02+05:30,2024-04-23T17:54:21+05:30,2024-06-16T02:30:00+05:30,,CLICK_COOKIE,,,,N/A,Barcelona,Catalonia,ES,gmg,,,,/Mediapartners/IRXXsjceaKKb3321333MEX88pArHEUWfn1/Actions/12282.5957.127760
40,19663.5959.147030,19663,ELEGOO,Online Sale EU,43251,,APPROVED,1692726,3.85,3.85,3.85,77.01,77.01,77.01,USD,2024-04-25T18:29:34+05:30,2024-04-25T18:30:38+05:30,2024-04-25T18:40:19+05:30,2024-05-20T21:30:00+05:30,,CLICK_COOKIE,,,,N/A,Granollers,Catalonia,ES,gmg,,,,/Mediapartners/IRXXsjceaKKb3321333MEX88pArHEUWfn1/Actions/19663.5959.147030
41,19663.5963.179337,19663,ELEGOO,Online Sale EU,43251,,REVERSED,1692726,0.00,0.00,31.70,0.00,0.00,634.10,USD,2024-04-29T19:26:41+05:30,2024-04-29T19:27:20+05:30,2024-04-29T19:37:18+05:30,2024-05-20T21:30:00+05:30,,CLICK_COOKIE,,,,N/A,Mont-Saint-Martin,Grand Est,FR,gmg,,,,/Mediapartners/IRXXsjceaKKb3321333MEX88pArHEUWfn1/Actions/19663.5963.179337
42,9634.5976.252090,9634,Lenovo India,Online Sale,17195,,PENDING,584269,59.63,59.63,59.63,851.86,851.86,851.86,USD,2024-05-12T19:37:14+05:30,2024-05-12T19:52:28+05:30,2024-05-12T20:03:25+05:30,2024-07-16T00:00:00+05:30,,CLICK_COOKIE,,CUSTOMOFF,,N/A,Dhanbad,Jharkhand,IN,dykKX3Sm1GjFCXRSQxwh,288,hyyzo,,/Mediapartners/IRXXsjceaKKb3321333MEX88pArHEUWfn1/Actions/9634.5976.252090
