,index,id_x,order_id,tariff_id_x,action_id,advcampaign_id,advcampaign_name,website_name,click_user_ip,click_user_referer,click_country_code,conversion_time,action,action_type,cart,status,processed,subid,subid1,subid2,subid3,subid4,payment_x,currency,keyword,comment,paid,promocode,click_date,action_date,closing_date,status_updated,id_y,tariff_id_y,datetime,amount,payment_y,rate,rate_id,percentage,product_url,product_id,product_image,product_name,product_category_id,product_category_name
12,12,1054497765,gpt-1080118460|course|1151632,16622,1054497765,22448,Udemy WW,Real Pricetracker,,,IN,-284,Paid course,sale,4.79,pending,0,avb,,,,,0.38,USD,,,0,,2024-05-18 10:48:44,2024-05-18 10:44:00,,2024-05-22 13:24:06,1255070053,21660,2024-05-18 10:44:00,4.79,0.38,7.94,,True,,,,,,
13,13,1054275876,gpt-1079977620|course|3164478,16622,1054275876,22448,Udemy WW,Real Pricetracker,,,US,-135,Paid course,sale,11.3,pending,0,tabm,,,,,0.9,USD,,,0,,2024-05-17 23:35:15,2024-05-17 23:33:00,,2024-05-21 14:23:21,1254683043,21660,2024-05-17 23:33:00,11.30,0.90,7.97,,True,,,,,,
14,14,1054275874,gpt-1079977620|course|1984658,16622,1054275874,22448,Udemy WW,Real Pricetracker,,,US,-135,Paid course,sale,15.83,pending,0,tabm,,,,,1.27,USD,,,0,,2024-05-17 23:35:15,2024-05-17 23:33:00,,2024-05-21 14:23:21,1254683041,21660,2024-05-17 23:33:00,15.83,1.27,8.03,,True,,,,,,
15,15,1054275867,gpt-1079977620|course|4357532,16622,1054275867,22448,Udemy WW,Real Pricetracker,,,US,-135,Paid course,sale,11.3,pending,0,tabm,,,,,0.9,USD,,,0,,2024-05-17 23:35:15,2024-05-17 23:33:00,,2024-05-21 14:23:20,1254683037,21660,2024-05-17 23:33:00,11.30,0.90,7.97,,True,,,,,,
16,16,1053364310,15962.5981.294402,28955,1053364310,30956,Pdffiller Many Geos,Real Pricetracker,,,SA,617,Sale,sale,,pending,0,tabm,,,,,0.0,USD,,,0,,2024-05-17 17:12:15,2024-05-17 17:22:32,,2024-05-17 17:36:00,1253183945,63584,2024-05-17 17:22:32,0.00,0.00,0.00,,False,,,,,,
17,17,1053364843,125459469,5273,1053364843,14627,Flipkart [CPS] IN,Real Pricetracker,,,IN,159,Existing Customer,sale,1899.0,pending,0,gmg,,,,,53.2,INR,,,0,,2024-05-17 16:53:36,2024-05-17 16:56:15,,2024-05-17 17:37:46,1253184506,5792,2024-05-17 16:56:15,1899.00,53.20,2.81,,True,,,,,,
18,18,1054268094,gpt-1079813690|course|1921420,16622,1054268094,22448,Udemy WW,Real Pricetracker,,,US,-1378,Paid course,sale,18.41,pending,0,tabm,,,,,1.48,USD,,,0,,2024-05-17 15:50:58,2024-05-17 15:28:00,,2024-05-21 13:23:21,1254673326,21660,2024-05-17 15:28:00,18.41,1.48,8.04,,True,,,,,,
19,19,1054268084,gpt-1079813690|course|2196488,16622,1054268084,22448,Udemy WW,Real Pricetracker,,,US,-1378,Paid course,sale,14.96,pending,0,tabm,,,,,1.2,USD,,,0,,2024-05-17 15:50:58,2024-05-17 15:28:00,,2024-05-21 13:23:20,1254673316,21660,2024-05-17 15:28:00,14.96,1.20,8.03,,True,,,,,,
20,20,1053332009,125424495,5273,1053332009,14627,Flipkart [CPS] IN,Real Pricetracker,,,IN,64,Existing Customer,sale,305.0,pending,0,gmg,,,,,8.4,INR,,,0,,2024-05-17 14:19:25,2024-05-17 14:20:29,,2024-05-17 14:29:59,1253130255,5792,2024-05-17 14:20:29,305.00,8.40,2.76,,True,,,,,,
21,21,1053298349,211494011501025464,14042,1053298349,20881,Alibaba WW,Real Pricetracker,,,DK,12,Paid order ,sale,14.99,pending,0,,,,,,0.75,USD,,,0,,2024-05-17 10:50:03,2024-05-17 10:50:15,,2024-05-17 10:50:15,1253076788,18192,2024-05-17 10:50:15,14.99,0.80,5.40,343578.0,True,,,,,,
