id_x,order_id,tariff_id_x,action_id,advcampaign_id,advcampaign_name,website_name,click_user_ip,click_user_referer,click_country_code,conversion_time,action,action_type,cart,status,processed,subid,subid1,subid2,subid3,subid4,payment_x,currency,keyword,comment,paid,promocode,click_date,action_date,closing_date,status_updated,id_y,tariff_id_y,datetime,amount,payment_y,rate,rate_id,percentage,product_url,product_id,product_image,product_name,product_category_id,product_category_name
1053126075,NYK-207902860-8192360,6528,1053126075,15667,Nykaa Beauty [CPS] IN,Real Pricetracker,,,IN,6,Sale,sale,959,pending,0,np,,,,,0,INR,,,0,,5/16/2024 17:03,5/16/2024 17:03,,5/16/2024 17:03,1252700119,48521,5/16/2024 17:03,959,0,0,708491,TRUE,,,,,,
1053936599,gpt-1079327480|course|3003490,16622,1053936599,22448,Udemy WW,Real Pricetracker,,,TW,1424,Paid course,sale,9.04,pending,0,tabm,,,,,0.72,USD,,,0,,5/16/2024 14:03,5/16/2024 14:27,,5/20/2024 13:24,1254151689,21660,5/16/2024 14:27,9.04,0.72,7.97,,TRUE,,,,,,
1053936584,gpt-1079327480|course|4915192,16622,1053936584,22448,Udemy WW,Real Pricetracker,,,TW,1424,Paid course,sale,9.04,pending,0,tabm,,,,,0.72,USD,,,0,,5/16/2024 14:03,5/16/2024 14:27,,5/20/2024 13:24,1254151674,21660,5/16/2024 14:27,9.04,0.72,7.97,,TRUE,,,,,,
1053936572,gpt-1079327480|course|518902,16622,1053936572,22448,Udemy WW,Real Pricetracker,,,TW,1424,Paid course,sale,9.04,pending,0,tabm,,,,,0.72,USD,,,0,,5/16/2024 14:03,5/16/2024 14:27,,5/20/2024 13:24,1254151660,21660,5/16/2024 14:27,9.04,0.72,7.97,,TRUE,,,,,,
1052959025,11068.5979.1204916,26066,1052959025,27697,Foot Locker US CA,Real Pricetracker,,,US,642,Paid order ,sale,65,pending,0,,,,,,1.3,USD,,,0,,5/16/2024 5:07,5/16/2024 5:18,,5/16/2024 5:37,1252385418,35937,5/16/2024 5:18,65,1.3,2,,TRUE,,,,,,
1053710070,gpt-1079104190|course|4651924,16622,1053710070,22448,Udemy WW,Real Pricetracker,,,MX,690,Paid course,sale,7.66,pending,0,tabm,,,,,0.61,USD,,,0,,5/16/2024 1:16,5/16/2024 1:28,,5/19/2024 14:24,1253794350,21660,5/16/2024 1:28,7.66,0.61,7.97,,TRUE,,,,,,
1053710067,gpt-1079104450|course|2597160,16622,1053710067,22448,Udemy WW,Real Pricetracker,,,FR,528,Paid course,sale,16.21,pending,0,tabm,,,,,1.3,USD,,,0,,5/16/2024 1:19,5/16/2024 1:28,,5/19/2024 14:24,1253794345,21660,5/16/2024 1:28,16.21,1.3,8.02,,TRUE,,,,,,
1053710075,gpt-1079100080|course|4810102,16622,1053710075,22448,Udemy WW,Real Pricetracker,,,US,-2031,Paid course,sale,10.5,pending,0,tabm,,,,,0.84,USD,,,0,,5/16/2024 0:58,5/16/2024 0:25,,5/19/2024 14:24,1253794354,21660,5/16/2024 0:25,10.5,0.84,8,,TRUE,,,,,,
1052930323,1GYZXPN9,15601,1052930323,21870,Radisson Hotel Group many GEOs,xocoupon,,,NL,75,Paid order Park Inn ,sale,322.6,pending,0,tabm,,,,,12.9,EUR,,,0,,5/15/2024 23:25,5/15/2024 23:26,,5/15/2024 23:26,1252354865,20302,5/15/2024 23:26,322.6,12.9,4,501908,TRUE,,TRISTKAV,,,,
1053703134,gpt-1078996476|course|1241098,16622,1053703134,22448,Udemy WW,Real Pricetracker,,,US,-1344,Paid course,sale,14.96,pending,0,tabm,,,,,1.2,USD,,,0,,5/15/2024 19:51,5/15/2024 19:29,,5/19/2024 13:24,1253785482,21660,5/15/2024 19:29,14.96,1.2,8.03,,TRUE,,,,,,
